広告主名,プログラムID,プログラム名,インプレッション数,クリック数,発生件数,発生報酬額
パルシステム生活協同組合連合会,s00000000064005,生協組合員募集プログラム２,6641,9,1,833
株式会社ファンコミュニケーションズ,s00000009884001,Amazon.co.jp成果反映用,22,57,1,50
パルシステム生活協同組合連合会,s00000000064009,生協の宅配【パルシステム】おためしセット,12,0,0,0
株式会社レティシアン,s00000000458009,【女性専用】代謝アップでしなやか美ボディメイク！『ジェシカズ・フォーミュラ』,37220,61,0,0
オイシックス株式会社,s00000000488017,Ｏｉｓｉｘおためしセット販売,8424,12,0,0
株式会社北国からの贈り物,s00000002894001,かに、カニ、蟹！「北国からの贈り物」,178,3,0,0
有限会社テレサインターナショナル,s00000006520005,本格スープがたった30分で！【スープリーズ】,11,2,0,0
小林製薬株式会社,s00000007594015,【小林製薬】ナットウキナーゼ＆DHA＆EPAセット,8,0,0,0
夕食ネット,s00000008115003,ヨシケイの夕食食材宅配【1週間お試し】最大46％OFF　2人用～4人用,99,1,0,0
株式会社ゴーフィールド,s00000009002037,宝暦三年創業、日本一高いお醤油【かめびし醤油】,35,1,0,0
らでぃっしゅぼーや株式会社,s00000009132001,野菜宅配サービス申込【らでぃっしゅぼーや】,8519,16,0,0
ドクターリセラ,s00000009954004,ドクターリセラの赤ちゃん用泡ソープ【リセラベビー】,780,1,0,0
株式会社イッティ,s00000011064025,偏食・成長期のお子様に！トリプルカルシウム配合の成長期応援飲料【アスミール】,34,1,0,0
株式会社ＴＣＮ,s00000011415001,プロポリス・マヌカハニーなど蜂産品の真実が分る専門サイト【Tcn　on　the　net】,510,2,0,0
株式会社ＩＤＥＡ,s00000012966001,話題のスムージーダイエット【グリーンベリースムージーダイエット】,6776,5,0,0
株式会社ザッパラス,s00000013392003,キッズ＆ベビー用品のセレクトショップ【cuna select (クーナ・セレクト）】,893,4,0,0
株式会社ＳＡＮＳＨＩＮ,s00000013842004,産前産後のママの髪と頭皮を優しくケアするシャンプー＆トリートメント【Dolci Bolle】,774,1,0,0
エメラルドオーシャン・トレーディング株式会社,s00000014295002,こどもの免疫力を高める【こどもバナナ青汁】,1137,3,0,0
株式会社ビオ・マーケット,s00000014332001,100%オーガニックの野菜宅配 ビオ・マルシェ申込み促進,1984,1,0,0
株式会社ミーロード,s00000014496021,オーガニックレーベルの【ママケアクリーム】,774,1,0,0
株式会社ビーアンドエイチサトウ,s00000014540003,他社製品にはないEPA&DHA含有量【美健知箋EPA&DHA】,113,0,0,0
株式会社大東通商,s00000014628001,赤ちゃん・ベビーキッズ用品・抱っこひもの公式オンラインショップ【napnap（ナップナップ）】,771,1,0,0
株式会社東京正直屋,s00000014713001,2017年おせち料理。神田川氏監修・大正13年創業【東京正直屋】,43,1,0,0
株式会社みやび,s00000015106001,ひとみくっきり、みやびのブルーベリーサプリ【ビルベリープレミアム】,8,0,0,0
ピカイチ野菜くん,s00000015295003,オリジナル冷凍ジュース 定期購入【ピカイチ野菜くん】,607,7,0,0
株式会社ランフォルセ,s00000015882001,お子様の成長期を応援する成長期栄養補助食品【フィジカルB】,1102,1,0,0
ＴＲＥＥＳ株式会社,s00000016020001,ぽかぽか天然溶岩とヨガの相乗効果でエナジーチャージ【溶岩ヨガスタジオララアーシャ】,71,1,0,0
リフィル,s00000016055001,視野が「ぼんやり」「かすむ」老眼？！そんな方にブルーベリーの48倍ブルーベリーは【実より葉】,182,4,0,0
フォルツァフィットネススタジオ,s00000016128001,美Body専門の個室パーソナルトレーニングジム【フォルツァ】,1,0,0,0
日清オイリオグループ株式会社,s00000016365004,【季節限定】オリーブオイルヌーボー「ピエトラコロンビナ」,33,0,0,0
ジュンビー株式会社,s00000016628002,厚生労働省推奨の葉酸！乳酸菌配合で赤ちゃんにしっかり届く【ジュンビー葉酸サプリ】,49,1,0,0
太田油脂株式会社,s00000016641001,健康常備！食用油【毎日えごまオイル】,631,2,0,0
マリリニュージーランド株式会社,s00000016737001,風邪やインフルエンザにTVや雑誌で話題の健康はちみつ【マヌカハニー】,60,2,0,0
株式会社すこやか工房,s00000016813003,【すこやか工房】料理のプロも認める最上級のオリーブオイル！『オリーブハート』,49,0,0,0
株式会社ソルブ,s00000016839003,イタリア生まれのお洒落なファーストシューズで赤ちゃんの足をサポート【モネリーナ】,777,4,0,0
株式会社Ｔｒｅｅ＿Ｌｉｆｅ,s00000016879001,「ミルニック」母乳育児、母乳の質をサポートするサプリメント【Life time beauty】,0,1,0,0
株式会社フーディーネット,s00000016964001,累計40万台以上の経験！お客様の欲しいおせちを揃えました【みんなのお祝いグルメ】,31,1,0,0
清田産業株式会社,s00000017028001,植物生まれの「食べる」オイル【ボタニカルオイルミックス】,629,1,0,0
